CHOKE,WHP,FLP,WHT,OIL_RATE
31,1769,334,176,1401
24,1784,334,169,1056
32,1827,319,190,2345.3
32,1827,319,190,2364
32,1827,334,190,2389.49
28,1820,290,176,2250
32,1827,334,190,2458
32,1827,334,190,2495
28,1827,326,185,2399
32,1827,333,187,2590
40,1827,377,198,2938
28,1827,319,185,2339
24,1827,319,176,1857
32,1827,219,185,2589
28,1827,322,182,2269
42,1740,363,199,2979
32,1813,319,190,2094.1
34,1813,334,196,2723
40,1673,388.5862069,187.1206897,2186
50,1588,389.2916667,189.125,2632
54,1470,360.1363636,188.1909091,3080
32,1755,464,189,2214
32,1755,464,187,2178.2
34,1740,479,189,2264
32,1812,388.5862069,187.1206897,2428.2
26,1769,330.4285714,170.6071429,1005
34,1711,388.5862069,187.1206897,1683
42,1624,389.2916667,189.125,2338
32,1769,363,190,2043.1
32,1668,435,185,2515.4
36,1668,421,180,2437
19,1752,330,157.25,782
32,1711,508,192,2474
32,1697,450,187,2468.4
30,1762,330.4285714,170.6071429,1612
34,1723,388.5862069,187.1206897,2224
42,1653,389.2916667,189.125,2963
65,1370,790,196,7107
40,1540,454,221,3792
22,1680,290,156,1350
39,1595,435,196,3103
34,1584,316,192,2379
34,1595,566,192,2043
38,1566,638,196,2431
29,1653,336,187,1698
44,1436,754,208,3471
38,1570,406,198,2308
32,1639,392,192,1754
44,1407,464,201,3620
24,1697,392,181,1361
36,1595,544,194,2252
39,1559,583,196,2529
42,1427,735,203,3356
29,1653,336,187,1698
24,1668,334,185,1239
38,1407,363,198,2816
38,1436,363,198,2462
40,1523,638,196,2441
40,1523,595,196,2366
38,1537,348,194,2223
38,1436,363,199,2522
54,1523,392,192,2307
40,1624,326,183,1995
40,1639,334,185,1929
54,1494,363,194,2790
40,1624,334,187,2070
44,1784,305,171,2402
63,1465,377,198,2728
54,1537,334,192,2478
54,1552,334,192,2393
40,1624,334,183,2052
44,1595,348,187,2204
39,1639,334,183,1877
64,1349,370,198,3333
54,1465,363,185,2927
54,1407,363,194,2935
33,1624,348,183,1580
54,1436,363,194,2935
54,1407,363,194,3027
33,1653,363,176,1755
40,1595,334,183,2262
76,1189,392,203,4100
44,1508,363,189,2525
65,1334,392,199,3481
40,1566,363,185,2160
22,1697,363,167,1142
21,1726,363,167,1136
28,1682,365,171,1474
76,1218,392,199,4165
36,1711,334,181,1632
39,1682,334,185,1891
54,1552,348,194,2704
24,1639,334,185,2108
42,1610,392,187,1959
54,1523,392,190,2621
44,1595,377,187,2125
54,1581,377,187,2102
58,1523,392,194,2509
58,1494,392,196,2550
40,1624,363,183,1979
36,1711,334,180,1646
42,1610,392,187,1938
31,1653,334,178,1181
54,1508,348,196,2260
44,1581,348,192,1904
21,1755,305,165,883
41,1610,363,189,1712
40,1610,348,187,1670
38,1523,508,188,1891
26,1682,363,171,1058
54,1494,348,192,2065
50,1523,363,192,1964
50,1465,348,190,2278
50,1465,363,192,1933
39,1544,462,183,1752
60,1494,363,198,2583
58,1320,334,180,2071
29,1668,319,171,1065
39,1595,334,183,1380
44,1479,305,189,1659
46,1552,334,183,1726
29,1668,305,174,1195
38,1566,292,185,1383
69,1320,363,194,2915
50,1421,319,187,1761
21,1682,305,158,499
22,1697,296,162,665
29,1682,291,172,1112
22,1740,334,162,800
29,1697,319,171,1132
21,1769,377,124,1108
30,1653,348,174,1166
21,1784,363,149,981
42,1581,302,185,1848
16,1784,319,142,599
46,1392,334,181,2448
16,1798,276,153,756
58,304.5,290,118,2700.34
60,1247,319,186.8,2539
58,1073,348,190.4,2581
36,1522,377,114,1693
26,1638,304,165,1001
40,1334,362,185,1902
60,1020,420,192,2364
46,1204,363,189,1914
16,1542,363,167,1134
34,1508,275,176,1343
54,1070,377,189,2534
50,1073,333,181,1302
34,1290,319,179,904
46,1145,384,185,1543.2
50,1073,391,185,1309
20,1421,362,167,596
34,1261,348,179,944
